show,season,episode,title,us_viewers,air_date,imdb_rating,total_votes,description
The Office,6,6,Mafia,8100000,10/15/09,7.6,3582,Michael meets with an insurance salesman that visits the office and is later convinced by Dwight and Andy that he is part of the mafia.
The Office,6,7,The Lover,8520000,10/22/09,8.6,3766,"Jim and Pam return from their honeymoon and learn, to their horror, that Michael is dating Pam's mom. Meanwhile, Dwight gives Jim a ""gift""--which actually has a listening device attached to it."
The Office,6,8,Koi Pond,8200000,10/29/09,8.1,3410,"Michael is upset when he becomes the butt of all the office jokes after he falls in a koi pond. Andy and Pam go out together on some cold calls, and everybody mistakes them as a married couple."
The Office,6,9,Double Date,7940000,11/5/09,8.1,3369,"Michael sparks more anger from Pam when he breaks up with her mom on her birthday after he finds out she's 58, and Dwight unsuccessfully tries to get everyone in the office to owe him a favor."
The Office,6,10,Murder,7760000,11/12/09,8.7,4090,"The entire office is preoccupied about rumors of Dunder Mifflin's bankruptcy. Michael tries to create a distraction by engaging everyone in murder-mystery game, but Jim wonders if that is a good idea."
The Office,6,11,Shareholder Meeting,7430000,11/19/09,8.2,3403,"Michael speaks out of line at the Dunder Mifflin shareholders meeting and creates a big problem for management, while Jim discovers that nobody in the office thinks he's the ""real"" boss."
The Office,6,12,Scott's Tots,8100000,12/3/09,8.3,3918,"Ten years ago, Michael promised a group of third graders he would pay for their college tuition if they graduated. Now comes time to pay, and he can't do it. At the office, Dwight's employee of the month idea gets Jim in big trouble."
The Office,6,13,Secret Santa,8510000,12/10/09,8.5,3587,"Michael gets upset when Jim promises Phyllis that she can be the office Santa, but the office Christmas party may be overshadowed by some bad news from David Wallace."
The Office,6,14,The Banker,7290000,1/21/10,6.8,4380,A banker representing a potential buyer comes to the Scranton branch to interview the H.R. department before the sale goes through.
The Office,6,15,Sabre,7360000,2/4/10,7.6,3267,"Michael hates the changes that Dunder Mifflin's new owner is implementing, so he turns to David Wallace for advice. Jim and Pam find the perfect day care center, but Jim's mistake threatens to ruin the interview."
The Office,6,16,Manager and Salesman,7400000,2/11/10,8,3226,"Sabre's CEO wants the Scranton branch to have one manager, and Michael voluntarily steps down and lets Jim become the boss when he finds out that salespeople make more money. However, he soon comes to regret the decision."
The Office,6,17,The Delivery: Part 1,9000000,3/4/10,8.4,3438,"Pam goes into labor and Jim is ready to take her to the hospital, but she refuses to go. Meanwhile, inspired by Pam and Jim's baby, Dwight and Angela try to reach a ""business agreement"" to have a baby of their own."
The Office,6,18,The Delivery: Part 2,9000000,3/4/10,8.5,3445,"After the baby is born, Pam has trouble getting the baby to breastfeed. At the office, Michael takes credit for hooking Jim and Pam up, and tries to do the same thing for Kevin and Erin, making Andy jealous."
The Office,6,19,St. Patrick's Day,7510000,3/11/10,7.6,3180,"It's St. Patrick's Day, and the CEO forces the office to work late because she won't leave. In addition, Michael unsuccessfully tries to suck up to his new boss, and Andy and Erin's first date is delayed because Erin is sick."
The Office,6,20,New Leads,7630000,3/18/10,7.7,3158,"When the sales staff begins trying to boss around everyone in the office, Michael tries to teach them a lesson by withholding a valuable set of sales leads."
The Office,6,21,Happy Hour,7170000,3/25/10,8.6,3613,"Oscar gets everybody in the office to go to Happy Hour so that he can hit on a coworker in shipping. Pam tries to set up Michael with a friend at the bar, but Michael's alter ego, ""Date Mike,"" threatens to spoil the entire evening."
The Office,6,22,Secretary's Day,6300000,4/22/10,7.8,3159,"Michael creates problems for Andy on Secretary's Day when he tells Erin that Andy was engaged to Angela, and Kevin is upset after Oscar makes a video comparing Kevin to Cookie Monster."
The Office,6,23,Body Language,7010000,4/29/10,7.9,3175,"Michael is hopeful that a potential client is interested in him, but everyone in the office except Pam thinks he's wasting his time. Meanwhile, Dwight recruits Kelly to apply for the Sabre minority management training program."
The Office,6,24,The Cover-Up,6840000,5/6/10,8.1,3168,"Michael becomes convinced that Donna is having an affair and puts Dwight on the case, but Pam soon discovers that the suspicions may be true. Meanwhile, Darryl gets revenge on Andy for an earlier incident."
The Office,6,25,The Chump,6600000,5/13/10,7.7,3064,"Michael continues to see Donna even after learning she's married and meeting her husband, Dwight and Angela take their baby contract to an arbitrator, and Jim and Pam struggle to stay awake at the office."
The Office,6,26,Whistleblower,6600000,5/20/10,8,3161,"Jo comes to the Scranton branch to find the whistle-blower. However, three different people have confessed to Michael, Michael is protecting them, and the person most people think is the culprit is keeping his mouth shut."
The Office,7,1,Nepotism,8400000,9/23/10,8.3,3627,"Everybody demands that Michael fire the new office assistant, but he won't because he's his nephew. Meanwhile, Pam tries to play a prank on Dwight, who has bought the office building, to make up for ruining Jim's prank."
The Office,7,2,Counseling,7360000,9/30/10,8.2,3288,"Michael is forced to go through counseling with Toby, Dwight seeks revenge on a local mall that refused his business, and Pam tries to fake her way to a promotion."
The Office,7,3,Andy's Play,6950000,10/7/10,8.2,3512,"Andy invites the entire office to watch him in the community theater production of ""Sweeney Todd,"" but Erin decides to babysit for Jim and Pam instead, and Michael is upset because he auditioned for the lead and didn't get it."
The Office,7,4,Sex Ed,7360000,10/14/10,7.8,3233,"A herpes scare causes Michael to get back in touch with his ex-girlfriends, where he decides to reevaluate those relationships. Meanwhile, Andy tries to teach safe sex to his officemates, but he has a clear ulterior motive."
